delta,E_quantum,E_lhv
1.7016960206944713,0.1305261922200516,0.08417
1.710422666954443,0.13917310096006535,0.08941
1.7191493132144147,0.14780941112961066,0.09512
1.7278759594743862,0.1564344650402308,0.10052
1.736602605734358,0.1650476058606777,0.10603
1.7453292519943295,0.1736481776669303,0.11175
1.7540558982543013,0.18223552549214753,0.11698
1.7627825445142729,0.1908089953765448,0.12249
1.7715091907742444,0.19936793441719705,0.12806
1.7802358370342162,0.20791169081775934,0.13361
1.7889624832941877,0.2164396139381028,0.13866
1.7976891295541595,0.22495105434386503,0.1443
1.806415775814131,0.23344536385590534,0.14937
1.8151424220741028,0.24192189559966779,0.1547
1.8238690683340744,0.2503800040544414,0.16034
1.8325957145940461,0.25881904510252085,0.16611
1.8413223608540177,0.26723837607825685,0.1717
1.8500490071139892,0.27563735581699905,0.17721
1.858775653373961,0.28401534470392265,0.18277
1.8675022996339325,0.29237170472273666,0.18898
1.8762289458939043,0.3007057995042731,0.19455
1.8849555921538759,0.30901699437494734,0.20047
1.8936822384138476,0.3173046564050922,0.20591
1.9024088846738192,0.32556815445715664,0.21159
1.911135530933791,0.333806859233771,0.21739
1.9198621771937625,0.3420201433256687,0.22302
1.928588823453734,0.3502073812594673,0.22861
1.9373154697137058,0.35836794954530027,0.23448
1.9460421159736774,0.3665012267242972,0.23978
1.9547687622336491,0.37460659341591207,0.24527
1.9634954084936207,0.3826834323650897,0.25103
1.9722220547535925,0.3907311284892738,0.25661
1.980948701013564,0.39874906892524614,0.26236
1.9896753472735358,0.40673664307580026,0.26784
1.9984019935335073,0.414693242656239,0.27352
2.007128639793479,0.42261826174069933,0.27905
2.0158552860534504,0.4305110968082949,0.28474
2.0245819323134224,0.4383711467890775,0.29049
2.033308578573394,0.4461978131098088,0.29613
2.0420352248333655,0.45399049973954675,0.30133
2.050761871093337,0.4617486132350338,0.3067
2.059488517353309,0.4694715627858909,0.31231
2.0682151636132806,0.47715876025960846,0.31759
2.076941809873252,0.484809620246337,0.32317
2.0856684561332237,0.492423560103467,0.32841
2.0943951023931953,0.4999999999999998,0.33385
2.1031217486531673,0.5075383629607043,0.33947
2.111848394913139,0.5150380749100543,0.34518
2.1205750411731104,0.5224985647159488,0.3511
2.129301687433082,0.5299192642332048,0.35674
2.138028333693054,0.537299608346824,0.36283
2.1467549799530254,0.5446390350150271,0.36869
2.155481626212997,0.5519369853120581,0.37422
2.1642082724729685,0.5591929034707467,0.37997
2.17293491873294,0.5664062369248326,0.38571
2.181661564992912,0.5735764363510462,0.39137
2.1903882112528836,0.5807029557109398,0.39675
2.199114857512855,0.587785252292473,0.40218
2.2078415037728267,0.5948227867513411,0.40752
2.2165681500327987,0.6018150231520484,0.41358
2.2252947962927703,0.6087614290087207,0.41908
2.234021442552742,0.6156614753256583,0.42455
2.2427480888127134,0.6225146366376194,0.42997
2.251474735072685,0.6293203910498373,0.43562
2.260201381332657,0.6360782202777641,0.44151
2.2689280275926285,0.6427876096865394,0.44723
2.2776546738526,0.6494480483301835,0.45291
2.2863813201125716,0.6560590289905072,0.45817
2.2951079663725436,0.6626200482157376,0.46343
2.303834612632515,0.6691306063588582,0.46922
2.3125612588924866,0.6755902076156602,0.47484
2.321287905152458,0.6819983600624984,0.48047
2.3300145514124297,0.6883545756937538,0.48566
2.3387411976724017,0.6946583704589974,0.4914
2.3474678439323733,0.7009092642998509,0.4967
2.356194490192345,0.7071067811865475,0.50246
2.3649211364523164,0.7132504491541815,0.50793
2.3736477827122884,0.7193398003386513,0.51329
2.38237442897226,0.7253743710122876,0.51928
2.3911010752322315,0.7313537016191705,0.52509
2.399827721492203,0.737277336810124,0.53043
2.4085543677521746,0.7431448254773941,0.53579
2.4172810140121466,0.7489557207890022,0.54144
2.426007660272118,0.754709580222772,0.54704
2.4347343065320897,0.7604059656000309,0.55236
2.443460952792061,0.7660444431189779,0.55797
2.452187599052033,0.77162458338772,0.56349
2.4609142453120048,0.7771459614569709,0.56935
2.4696408915719763,0.7826081568524139,0.57486
