r_m,yukawa,frac_gravity,frac_EM
2.3492396290496578e-05,0.9767814018026345,0.009767814018026346,9.767814018026345e-07
2.404099183509974e-05,0.9762456908353149,0.009762456908353149,9.762456908353149e-07
2.4602398208697776e-05,0.9756977740986472,0.009756977740986472,9.756977740986472e-07
2.517691457037277e-05,0.9751373807563638,0.009751373807563638,9.751373807563638e-07
2.5764847065183745e-05,0.9745642343055333,0.009745642343055333,9.745642343055333e-07
2.6366508987303556e-05,0.9739780524744185,0.009739780524744186,9.739780524744184e-07
2.6982220946965385e-05,0.9733785471193098,0.009733785471193098,9.733785471193097e-07
2.761231104130753e-05,0.9727654241203737,0.009727654241203738,9.727654241203737e-07
2.825711502920827e-05,0.9721383832765528,0.009721383832765529,9.721383832765526e-07
2.8916976510203024e-05,0.971497118199562,0.00971497118199562,9.714971181995619e-07
2.9592247107579574e-05,0.9708413162070273,0.009708413162070273,9.708413162070272e-07
3.0283286655749455e-05,0.9701706582148175,0.009701706582148176,9.701706582148174e-07
3.099046339199427e-05,0.969484818628623,0.00969484818628623,9.69484818628623e-07
3.171415415268996e-05,0.9687834652348422,0.009687834652348421,9.687834652348422e-07
3.245474457411332e-05,0.9680662590908369,0.009680662590908369,9.680662590908369e-07
3.3212629297937484e-05,0.9673328544146276,0.009673328544146277,9.673328544146275e-07
3.398821218152667e-05,0.966582898474099,0.00966582898474099,9.66582898474099e-07
3.478190651314134e-05,0.9658160314757965,0.009658160314757965,9.658160314757966e-07
3.559413523216862e-05,0.9650318864533979,0.009650318864533979,9.650318864533978e-07
3.642533115449638e-05,0.9642300891559462,0.009642300891559463,9.642300891559462e-07
3.727593720314938e-05,0.9634102579359454,0.009634102579359453,9.634102579359454e-07
3.814640664431174e-05,0.9625720036374151,0.009625720036374151,9.62572003637415e-07
3.903720332886092e-05,0.9617149294840175,0.009617149294840175,9.617149294840174e-07
3.994880193954171e-05,0.9608386309673687,0.009608386309673686,9.608386309673685e-07
4.0881688243912894e-05,0.959942695735658,0.00959942695735658,9.59942695735658e-07
4.1836359353200236e-05,0.9590267034827072,0.009590267034827073,9.590267034827072e-07
4.281332398719396e-05,0.9580902258376048,0.009580902258376049,9.580902258376048e-07
4.381310274533306e-05,0.9571328262550626,0.009571328262550626,9.571328262550626e-07
4.483622838411906e-05,0.9561540599066499,0.0095615405990665,9.561540599066498e-07
4.58832461010084e-05,0.9551534735730687,0.009551534735730687,9.551534735730687e-07
4.695471382493431e-05,0.9541306055376403,0.009541306055376403,9.541306055376402e-07
4.805120251361242e-05,0.9530849854811904,0.009530849854811905,9.530849854811903e-07
4.917329645779016e-05,0.9520161343785186,0.009520161343785187,9.520161343785186e-07
5.032159359259998e-05,0.9509235643966629,0.00950923564396663,9.509235643966629e-07
5.149670581618343e-05,0.9498067787951656,0.009498067787951656,9.498067787951655e-07
5.269925931575656e-05,0.9486652718285704,0.009486652718285705,9.486652718285704e-07
5.39298949012887e-05,0.9474985286513853,0.009474985286513853,9.474985286513853e-07
5.518926834697374e-05,0.9463060252257616,0.009463060252257616,9.463060252257615e-07
5.6478050740675574e-05,0.9450872282321477,0.009450872282321478,9.450872282321477e-07
5.7796928841533134e-05,0.9438415949831978,0.009438415949831977,9.438415949831977e-07
5.9146605445917453e-05,0.9425685733412152,0.009425685733412152,9.425685733412152e-07
6.052779976193356e-05,0.9412676016394426,0.009412676016394426,9.412676016394425e-07
6.19412477926676e-05,0.9399381086075078,0.009399381086075078,9.399381086075078e-07
6.338770272838488e-05,0.9385795133013615,0.009385795133013615,9.385795133013614e-07
6.486793534788508e-05,0.9371912250380531,0.00937191225038053,9.37191225038053e-07
6.638273442923074e-05,0.9357726433357083,0.009357726433357083,9.357726433357082e-07
6.793290717006702e-05,0.9343231578590898,0.009343231578590898,9.343231578590898e-07
6.951927961775606e-05,0.9328421483711371,0.009328421483711371,9.328421483711371e-07
7.114269710955731e-05,0.9313289846909018,0.009313289846909018,9.313289846909017e-07
7.280402472308576e-05,0.9297830266583114,0.009297830266583113,9.297830266583113e-07
7.450414773728918e-05,0.9282036241062154,0.009282036241062153,9.282036241062154e-07
7.624397210419138e-05,0.926590116840183,0.00926590116840183,9.26590116840183e-07
7.802442493165045e-05,0.924941834626546,0.00924941834626546,9.24941834626546e-07
7.984645497739079e-05,0.9232580971891993,0.009232580971891993,9.232580971891993e-07
8.171103315457203e-05,0.9215382142156904,0.009215382142156904,9.215382142156904e-07
8.361915304916317e-05,0.9197814853731556,0.009197814853731556,9.197814853731556e-07
8.557183144940002e-05,0.917987200334676,0.009179872003346759,9.179872003346759e-07
8.757010888760517e-05,0.9161546388166559,0.00916154638816656,9.161546388166559e-07
8.96150501946605e-05,0.9142830706278464,0.009142830706278464,9.142830706278464e-07
